versionUri	language	subcorpus	uncorrected_OCR	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	char_length	url	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	city_ar	city_lat	institution_ar	institution_lat	shelfmark	catalog_ref	parts
MS0044LondonKhalili.DOC18AR27.IEDC0029-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/29/	IEDC0029	pri	58	217	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC18AR27/MS0044LondonKhalili.DOC18AR27.IEDC0029-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 18 [AR 27]		
MS0044LondonKhalili.DOC19AR1.IEDC0031-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/31/	IEDC0031	pri	49	196	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC19AR1/MS0044LondonKhalili.DOC19AR1.IEDC0031-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 19 [AR 1]		
MS0044LondonKhalili.DOC20AR26.IEDC0044-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/44/	IEDC0044	pri	70	262	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC20AR26/MS0044LondonKhalili.DOC20AR26.IEDC0044-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 20 [AR 26]		
MS0044LondonKhalili.DOC21AR25.IEDC0051-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/51/	IEDC0051	pri	70	280	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC21AR25/MS0044LondonKhalili.DOC21AR25.IEDC0051-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 21 [AR 25]		
MS0044LondonKhalili.DOC22AR7.IEDC0034-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/34/	IEDC0034	pri	90	336	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC22AR7/MS0044LondonKhalili.DOC22AR7.IEDC0034-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 22 [AR 7]		
MS0044LondonKhalili.DOC23AR6.IEDC0033-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/33/	IEDC0033	pri	61	236	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC23AR6/MS0044LondonKhalili.DOC23AR6.IEDC0033-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 23 [AR 6]		
MS0044LondonKhalili.DOC24AR31.IEDC0040-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/40/	IEDC0040	pri	63	246	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC24AR31/MS0044LondonKhalili.DOC24AR31.IEDC0040-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 24 [AR 31]		
MS0044LondonKhalili.DOC25AR16.IEDC0047-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/47/	IEDC0047	pri	48	189	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC25AR16/MS0044LondonKhalili.DOC25AR16.IEDC0047-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 25 [AR 16]		
MS0044LondonKhalili.DOC26AR13.IEDC0028-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/28/	IEDC0028	pri	65	254	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC26AR13/MS0044LondonKhalili.DOC26AR13.IEDC0028-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 26 [AR 13]		
MS0044LondonKhalili.DOC27AR30.IEDC0041-ara1	ara	MSS	False							https://www.invisible-east.org/corpus/41/	IEDC0041	pri	53	196	/home/admin-kitab/Documents/OpenITI/RELEASE_git/working_dir/AH_repos/MSS/data/MS0044LondonKhalili/MS0044LondonKhalili.DOC27AR30/MS0044LondonKhalili.DOC27AR30.IEDC0041-ara1					لندن	London	مجموعة الخليلي	Khalili Collection	DOC 27 [AR 30]		
