versionUri	date	author	book	title	ed_info	id	status	length	url	tags
0110HasanBasri.FadailMakka.Shamela0005722-ara1	0110	Hasan Basri :: الحسن بن يسار البصري، أبو سعيد (المتوفى: 110هـ)	0110HasanBasri.FadailMakka	Fadail Makka :: فضائل مكة والسكن فيها	سامي مكي العاني :: مكتبة الفلاح - الكويت :: http://www.worldcat.org/oclc/8850761	Shamela0005722	pri	3094	data/0110HasanBasri/0110HasanBasri.FadailMakka/0110HasanBasri.FadailMakka.Shamela0005722-ara1.completed	COMPLETED :: CENT0200 :: PPE :: _AJZA :: _BULDAN :: _HADITH :: _TABAQAT :: _TARAJIM :: _TARIKH :: الأجزاء الحديثية
0110HasanBasri.FadailMakka.Shia003454-ara1	0110	Hasan Basri :: الحسن بن يسار البصري	0110HasanBasri.FadailMakka	Fadail Makka :: فضائل مكة والسكن فيها	سامي مكي العاني :: 1400	Shia003454	sec	1705	data/0110HasanBasri/0110HasanBasri.FadailMakka/0110HasanBasri.FadailMakka.Shia003454-ara1	CENT0200 :: PPE :: _AJZA :: _BULDAN :: _HADITH :: _TABAQAT :: _TARAJIM :: _TARIKH :: مصادر التاريخ
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara1	0110	Ibn Sirin :: ابن سيرين	0110IbnSirin.MuntakhabKalamFiTafsirAhlam	Muntakhab Kalam Fi Tafsir Ahlam :: منتخب الكلام في تفسير الأحلام	بيروت :: دار الفكر	JK006856	pri	211445	data/0110IbnSirin/0110IbnSirin.MuntakhabKalamFiTafsirAhlam/0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara1	CENT0100 :: CENT0200 :: _AHLAM :: _CHRONOMULTIPLE :: _MISC :: _TAFSIR :: كتب تفسير الأحلام
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shamela0021615-ara1	0110	Ibn Sirin :: ينسب لمحمد بن سيرين (المتوفى: 110هـ) ولا تصح نسبته له	0110IbnSirin.MuntakhabKalamFiTafsirAhlam	Muntakhab Kalam Fi Tafsir Ahlam :: تفسير الأحلام = منتخب الكلام في تفسير الأحلام (مطبوع بهامش تعطير الأنام في تعبير المنام للنابلسي)	شركة مكتبة ومطبعة مصطفى البابي الحلبي وأولاده	Shamela0021615	sec	149198	data/0110IbnSirin/0110IbnSirin.MuntakhabKalamFiTafsirAhlam/0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shamela0021615-ara1	CENT0100 :: CENT0200 :: _AHLAM :: _CHRONOMULTIPLE :: _MISC :: _TAFSIR :: علوم أخرى
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shia004640Vols-ara1	0110	Ibn Sirin :: محمد بن سيرين	0110IbnSirin.MuntakhabKalamFiTafsirAhlam	Muntakhab Kalam Fi Tafsir Ahlam :: منتخب الكلام في تفسير الأحلام	1359 - 1940 م	Shia004640Vols	sec	150325	data/0110IbnSirin/0110IbnSirin.MuntakhabKalamFiTafsirAhlam/0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shia004640Vols-ara1	CENT0100 :: CENT0200 :: _AHLAM :: _CHRONOMULTIPLE :: _MISC :: _TAFSIR :: تفسير أحلام
0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1	0117	Ibn Dicama Sadusi :: قتادة السدوسي :: قتادة بن دعامة بن قتادة السدوسي أبو الخطاب	0117IbnDicamaSadusi.NasikhWaMansukh	Nasikh Wa Mansukh :: الناسخ والنسوخ :: الناسخ والمنسوخ للسدوسي	د. حاتم صالح الضامن :: بيروت :: 1404 :: مؤسسة الرسالة	JK000163	sec	3261	data/0117IbnDicamaSadusi/0117IbnDicamaSadusi.NasikhWaMansukh/0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1	CENT0200 :: _CULUM :: _MANSUKH :: _NASIKH :: _QURAN :: _TAFSIR :: الناسخ والمنسوخ :: علوم القرآن :: كتب التفاسير وعلوم القرآن
0117IbnDicamaSadusi.NasikhWaMansukh.Shamela0008491-ara1	0117	Ibn Dicama Sadusi :: قتادة بن دعامة بن قتادة بن عزيز، أبو الخطاب السدوسي البصري (المتوفى: 117هـ)	0117IbnDicamaSadusi.NasikhWaMansukh	Nasikh Wa Mansukh :: الناسخ والمنسوخ	حاتم صالح الضامن، كلية الآداب - جامعة بغداد :: مؤسسة الرسالة	Shamela0008491	sec	6658	data/0117IbnDicamaSadusi/0117IbnDicamaSadusi.NasikhWaMansukh/0117IbnDicamaSadusi.NasikhWaMansukh.Shamela0008491-ara1	CENT0200 :: _CULUM :: _QURAN :: _SUNNI :: _TAFSIR :: علوم القرآن
0117IbnDicamaSadusi.NasikhWaMansukh.Shia002458-ara1	0117	Ibn Dicama Sadusi :: السدوسي	0117IbnDicamaSadusi.NasikhWaMansukh	Nasikh Wa Mansukh :: الناسخ والمنسوخ	الدكتور حاتم صالح الضامن :: 1409	Shia002458	pri	9002	data/0117IbnDicamaSadusi/0117IbnDicamaSadusi.NasikhWaMansukh/0117IbnDicamaSadusi.NasikhWaMansukh.Shia002458-ara1	CENT0200 :: _CULUM :: _QURAN :: _SUNNI :: _TAFSIR :: مصادر التفسير عند السنة
0125NabighaShaybani.Diwan.JK007548-ara1	0125	Nabigha Shaybani :: النابغة الشيباني	0125NabighaShaybani.Diwan	Diwan :: ديوان النابغة الشيباني		JK007548	pri	10934	data/0125NabighaShaybani/0125NabighaShaybani.Diwan/0125NabighaShaybani.Diwan.JK007548-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
0125Tirimmah.Diwan.JK007546-ara1	0125	Tirimmah :: الطرماح	0125Tirimmah.Diwan	Diwan :: ديوان الطرماح		JK007546	pri	12527	data/0125Tirimmah/0125Tirimmah.Diwan/0125Tirimmah.Diwan.JK007546-ara1	_SHICR :: _SHICR_UMAWI :: أموي :: دواوين الشعر العربي
